bucket,pdf
684,4.9678332795151396E-5
685,2.4839166397575698E-5
686,4.9678332795151396E-5
687,3.311888853010093E-5
688,5.795805492767663E-5
689,4.9678332795151396E-5
690,4.9678332795151396E-5
691,1.6559444265050466E-5
692,8.279722132525233E-6
693,8.279722132525233E-6
694,3.311888853010093E-5
695,3.311888853010093E-5
696,3.311888853010093E-5
697,3.311888853010093E-5
698,5.795805492767663E-5
699,6.623777706020187E-5
700,4.1398610662626164E-5
701,2.4839166397575698E-5
702,4.1398610662626164E-5
703,3.311888853010093E-5
704,2.4839166397575698E-5
705,4.9678332795151396E-5
706,4.1398610662626164E-5
707,4.1398610662626164E-5
708,3.311888853010093E-5
709,4.1398610662626164E-5
710,3.311888853010093E-5
711,2.4839166397575698E-5
712,5.795805492767663E-5
713,1.6559444265050466E-5
714,4.1398610662626164E-5
715,1.6559444265050466E-5
716,2.4839166397575698E-5
717,1.6559444265050466E-5
718,3.311888853010093E-5
719,5.795805492767663E-5
720,3.311888853010093E-5
721,3.311888853010093E-5
722,1.0763638772282802E-4
723,3.311888853010093E-5
724,2.4839166397575698E-5
725,4.1398610662626164E-5
726,1.6559444265050466E-5
727,3.311888853010093E-5
728,8.279722132525233E-6
729,2.4839166397575698E-5
730,1.6559444265050466E-5
731,3.311888853010093E-5
732,2.4839166397575698E-5
733,8.279722132525233E-6
734,1.6559444265050466E-5
735,4.1398610662626164E-5
736,3.311888853010093E-5
737,8.279722132525233E-6
738,3.311888853010093E-5
739,3.311888853010093E-5
740,1.6559444265050466E-5
741,2.4839166397575698E-5
742,2.4839166397575698E-5
743,4.1398610662626164E-5
744,4.1398610662626164E-5
745,2.4839166397575698E-5
746,8.279722132525233E-6
747,5.795805492767663E-5
748,8.279722132525233E-6
749,3.311888853010093E-5
750,7.451749919272709E-5
751,4.9678332795151396E-5
752,4.1398610662626164E-5
753,2.4839166397575698E-5
754,1.6559444265050466E-5
755,1.6559444265050466E-5
756,2.4839166397575698E-5
757,4.1398610662626164E-5
758,4.9678332795151396E-5
759,2.4839166397575698E-5
760,3.311888853010093E-5
761,3.311888853010093E-5
763,5.795805492767663E-5
765,2.4839166397575698E-5
766,3.311888853010093E-5
767,3.311888853010093E-5
768,2.4839166397575698E-5
769,8.279722132525233E-6
770,1.6559444265050466E-5
771,8.279722132525233E-6
772,2.4839166397575698E-5
773,1.6559444265050466E-5
774,2.4839166397575698E-5
775,4.9678332795151396E-5
776,3.311888853010093E-5
777,2.4839166397575698E-5
778,2.4839166397575698E-5
779,3.311888853010093E-5
780,4.1398610662626164E-5
781,1.6559444265050466E-5
782,1.6559444265050466E-5
783,4.1398610662626164E-5
784,8.279722132525233E-6
785,2.4839166397575698E-5
786,1.6559444265050466E-5
787,8.279722132525233E-6
788,1.6559444265050466E-5
789,1.6559444265050466E-5
790,8.279722132525233E-6
792,8.279722132525233E-6
793,4.1398610662626164E-5
794,1.6559444265050466E-5
795,2.4839166397575698E-5
796,2.4839166397575698E-5
797,5.795805492767663E-5
798,3.311888853010093E-5
799,2.4839166397575698E-5
800,3.311888853010093E-5
801,3.311888853010093E-5
802,8.279722132525233E-6
803,8.279722132525233E-6
804,3.311888853010093E-5
805,2.4839166397575698E-5
806,3.311888853010093E-5
807,3.311888853010093E-5
808,3.311888853010093E-5
809,2.4839166397575698E-5
810,2.4839166397575698E-5
811,1.6559444265050466E-5
812,8.279722132525233E-6
813,1.6559444265050466E-5
814,8.279722132525233E-6
815,3.311888853010093E-5
816,5.795805492767663E-5
817,8.279722132525233E-6
818,2.4839166397575698E-5
819,4.9678332795151396E-5
820,2.4839166397575698E-5
821,3.311888853010093E-5
822,2.4839166397575698E-5
823,2.4839166397575698E-5
824,4.1398610662626164E-5
825,2.4839166397575698E-5
827,1.6559444265050466E-5
828,3.311888853010093E-5
829,1.6559444265050466E-5
830,1.6559444265050466E-5
831,1.6559444265050466E-5
832,4.1398610662626164E-5
833,2.4839166397575698E-5
834,1.6559444265050466E-5
835,4.9678332795151396E-5
836,4.1398610662626164E-5
837,1.6559444265050466E-5
838,3.311888853010093E-5
839,4.9678332795151396E-5
840,2.4839166397575698E-5
841,2.4839166397575698E-5
842,1.6559444265050466E-5
843,8.279722132525233E-6
844,2.4839166397575698E-5
845,2.4839166397575698E-5
846,6.623777706020187E-5
